ds,y,open,high,low,vol.,change %,lag1_y,lag1_open,lag1_vol,lag1_change_pct,lag2_y,lag2_open,lag2_vol,lag2_change_pct,lag3_y,lag3_open,lag3_vol,lag3_change_pct,lag4_y,lag4_open,lag4_vol,lag4_change_pct,lag5_y,lag5_open,lag5_vol,lag5_change_pct,lag6_y,lag6_open,lag6_vol,lag6_change_pct,lag7_y,lag7_open,lag7_vol,lag7_change_pct,SMA_7_days,EMA_7_days,SMA_1_month,EMA_1_month,SMA_3_months,EMA_3_months,SMA_6_months,EMA_6_months,EMA_1_day,SMA_1_day
2018-11-28,4265.4,3866.4,4391.8,3866.4,533040.0,10.32,3866.5,3840.3,457270.0,0.77,3837.0,4061.0,571040.0,-5.54,4062.2,3920.3,619950.0,3.62,3920.4,4397.3,382720.0,-10.86,4398.0,4360.9,348990.0,0.96,4356.0,4646.4,261850.00000000003,-6.09,4638.7,4523.0,412740.0,2.52,4100.785714285715,4213.6334377137455,5592.086666666667,5265.537490063725,6245.82888888889,6069.642122016385,6550.435555555555,6621.105211958184,4265.4,4265.4
2018-11-29,4296.5,4265.5,4440.1,4140.6,414460.0,0.73,4265.4,3866.4,533040.0,10.32,3866.5,3840.3,457270.0,0.77,3837.0,4061.0,571040.0,-5.54,4062.2,3920.3,619950.0,3.62,3920.4,4397.3,382720.0,-10.86,4398.0,4360.9,348990.0,0.96,4356.0,4646.4,261850.00000000003,-6.09,4092.285714285714,4234.350078285309,5524.446666666667,5203.018942317679,6215.414444444445,6030.671965488552,6531.823888888888,6595.418966522182,4296.5,4296.5
2018-11-30,4039.7,4296.8,4340.6,3954.5,444520.0,-5.98,4296.5,4265.5,414460.0,0.73,4265.4,3866.4,533040.0,10.32,3866.5,3840.3,457270.0,0.77,3837.0,4061.0,571040.0,-5.54,4062.2,3920.3,619950.0,3.62,3920.4,4397.3,382720.0,-10.86,4398.0,4360.9,348990.0,0.96,4041.1,4185.687558713982,5446.906666666666,5127.966107329442,6180.415555555556,5986.914339873419,6511.326111111112,6567.178977941827,4039.7,4039.7
2018-12-01,4196.2,4038.7,4299.1,3967.1,316300.0,3.87,4039.7,4296.8,444520.0,-5.98,4296.5,4265.5,414460.0,0.73,4265.4,3866.4,533040.0,10.32,3866.5,3840.3,457270.0,0.77,3837.0,4061.0,571040.0,-5.54,4062.2,3920.3,619950.0,3.62,3920.4,4397.3,382720.0,-10.86,4080.5,4188.315669035486,5373.429999999999,5067.852164921091,6145.996666666666,5947.557980755321,6492.947777777778,6540.980315202139,4196.2,4196.2
2018-12-02,4160.4,4196.2,4316.1,4105.3,298630.0,-0.85,4196.2,4038.7,316300.0,3.87,4039.7,4296.8,444520.0,-5.98,4296.5,4265.5,414460.0,0.73,4265.4,3866.4,533040.0,10.32,3866.5,3840.3,457270.0,0.77,3837.0,4061.0,571040.0,-5.54,4062.2,3920.3,619950.0,3.62,4094.5285714285715,4181.336751776615,5297.953333333334,5009.30686395844,6111.51,5908.279783376083,6473.663888888889,6514.675560338027,4160.4,4160.4
2018-12-03,3897.8,4160.3,4177.0,3839.9,355100.0,-6.31,4160.4,4196.2,298630.0,-0.85,4196.2,4038.7,316300.0,3.87,4039.7,4296.8,444520.0,-5.98,4296.5,4265.5,414460.0,0.73,4265.4,3866.4,533040.0,10.32,3866.5,3840.3,457270.0,0.77,3837.0,4061.0,571040.0,-5.54,4103.214285714285,4110.452563832461,5215.006666666667,4937.596743703057,6072.846666666667,5864.093414510675,6452.7572222222225,6485.759808290093,3897.8,3897.8
2018-12-04,3958.5,3899.9,4082.9,3809.3,326710.0,1.56,3897.8,4160.3,355100.0,-6.31,4160.4,4196.2,298630.0,-0.85,4196.2,4038.7,316300.0,3.87,4039.7,4296.8,444520.0,-5.98,4296.5,4265.5,414460.0,0.73,4265.4,3866.4,533040.0,10.32,3866.5,3840.3,457270.0,0.77,4116.357142857143,4072.464422874346,5131.016666666666,4874.429211851247,6042.31,5822.212240565385,6431.983333333334,6457.834285546556,3958.5,3958.5
2018-12-05,3771.6,3958.1,3974.1,3765.2,341600.0,-4.72,3958.5,3899.9,326710.0,1.56,3897.8,4160.3,355100.0,-6.31,4160.4,4196.2,298630.0,-0.85,4196.2,4038.7,316300.0,3.87,4039.7,4296.8,444520.0,-5.98,4296.5,4265.5,414460.0,0.73,4265.4,3866.4,533040.0,10.32,4045.8142857142857,3997.2483171557597,5041.413333333333,4803.278940118908,6011.8388888888885,5777.143839673839,6410.591666666666,6428.152138744937,3771.6,3771.6
2018-12-06,3508.6,3771.4,3887.2,3505.7,467540.0,-6.97,3771.6,3958.1,341600.0,-4.72,3958.5,3899.9,326710.0,1.56,3897.8,4160.3,355100.0,-6.31,4160.4,4196.2,298630.0,-0.85,4196.2,4038.7,316300.0,3.87,4039.7,4296.8,444520.0,-5.98,4296.5,4265.5,414460.0,0.73,3933.2571428571428,3875.08623786682,4941.606666666666,4719.75126656285,5979.813333333333,5727.285733307381,6388.329444444445,6395.891894117921,3508.6,3508.6
2018-12-07,3422.2,3508.9,3626.6,3251.8,639330.0,-2.46,3508.6,3771.4,467540.0,-6.97,3771.6,3958.1,341600.0,-4.72,3958.5,3899.9,326710.0,1.56,3897.8,4160.3,355100.0,-6.31,4160.4,4196.2,298630.0,-0.85,4196.2,4038.7,316300.0,3.87,4039.7,4296.8,444520.0,-5.98,3845.042857142857,3761.864678400115,4836.836666666667,4636.038281623311,5949.123333333335,5676.624508399526,6369.702222222221,6363.033420149767,3422.2,3422.2
2018-12-08,3430.4,3422.3,3507.7,3302.9,424400.0,0.24,3422.2,3508.9,639330.0,-2.46,3508.6,3771.4,467540.0,-6.97,3771.6,3958.1,341600.0,-4.72,3958.5,3899.9,326710.0,1.56,3897.8,4160.3,355100.0,-6.31,4160.4,4196.2,298630.0,-0.85,4196.2,4038.7,316300.0,3.87,3735.6428571428564,3678.9985088000863,4735.383333333333,4558.255166679872,5917.922222222222,5627.25693678635,6350.505000000001,6330.628630976842,3430.4,3430.4
2018-12-09,3567.5,3430.3,3677.6,3424.2,327930.0,4.0,3430.4,3422.3,424400.0,0.24,3422.2,3508.9,639330.0,-2.46,3508.6,3771.4,467540.0,-6.97,3771.6,3958.1,341600.0,-4.72,3958.5,3899.9,326710.0,1.56,3897.8,4160.3,355100.0,-6.31,4160.4,4196.2,298630.0,-0.85,3650.942857142857,3651.1238816000646,4640.566666666667,4494.335478506977,5887.327777777778,5581.987553560276,6333.889999999999,6300.09682289975,3567.5,3567.5
2018-12-10,3460.5,3566.9,3622.4,3412.7,394490.0,-3.0,3567.5,3430.3,327930.0,4.0,3430.4,3422.3,424400.0,0.24,3422.2,3508.9,639330.0,-2.46,3508.6,3771.4,467540.0,-6.97,3771.6,3958.1,341600.0,-4.72,3958.5,3899.9,326710.0,1.56,3897.8,4160.3,355100.0,-6.31,3588.4714285714285,3603.4679112000485,4541.679999999999,4427.636415377495,5855.845555555556,5535.361453482028,6318.046666666667,6268.720062425719,3460.5,3460.5
